epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.145,4.15132,5.37655,4.2277,0,0,0,0,5.17883,5.63956,4.16012,5.25e-05,5.25e-05,5.25e-05
2,394.893,4.09296,5.33221,4.20359,0,0,0,0,5.1838,5.63835,4.1676,0.000105371,0.000105371,0.000105371
3,589.155,4.08632,5.32854,4.1769,0,0,0,0,5.17525,5.65514,4.17325,0.000156065,0.000156065,0.000156065
4,773.881,4.06568,5.28425,4.13884,0,0,0,0,5.16207,5.71178,4.17953,0.00020458,0.00020458,0.00020458
5,952.458,3.99783,5.22598,4.08732,0,0,0,0,5.13209,5.8347,4.16362,0.0002302,0.0002302,0.0002302
6,1151.03,3.63819,5.13643,3.99041,0,0,0,0,4.82862,5.43883,3.9839,0.00022525,0.00022525,0.00022525
7,1389.11,3.46991,5.02297,3.85459,0.08946,0.03072,0.00281,0.00042,3.90823,4.9076,3.73145,0.0002203,0.0002203,0.0002203
8,1599.28,3.3328,4.90486,3.76908,0.47286,0.01161,0.00068,0.00013,3.35039,9.49073,3.5137,0.00021535,0.00021535,0.00021535
9,1776.76,3.19744,4.81157,3.67261,0.14802,0.03135,0.00082,0.00017,3.37115,8.24805,3.37837,0.0002104,0.0002104,0.0002104
10,1978.04,3.06578,4.69862,3.56023,0.56145,0.00452,0.00202,0.00037,3.28135,5.3282,3.20513,0.00020545,0.00020545,0.00020545
11,2167.4,3.00358,4.62901,3.50959,0.00144,0.08934,0.00209,0.00058,3.18834,5.20944,3.12604,0.0002005,0.0002005,0.0002005
12,2357.65,2.95241,4.58321,3.46359,0.00181,0.07469,0.00812,0.00257,3.18738,4.97246,3.1081,0.00019555,0.00019555,0.00019555
13,2553.9,2.97716,4.44253,3.38215,0.29791,0.0261,0.00707,0.00295,3.29987,4.78025,3.2319,0.0001906,0.0001906,0.0001906
