epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.879,3.08982,4.40293,3.3202,0.31162,0.28011,0.19792,0.13102,1.42705,2.46255,1.67372,8.32565e-05,8.32565e-05,8.32565e-05
2,327.977,1.41559,2.44501,1.75921,0.78796,0.57997,0.67307,0.50169,1.04013,1.28146,1.26954,0.000159993,0.000159993,0.000159993
3,494.545,1.20625,1.77326,1.50928,0.87596,0.68634,0.8153,0.62133,0.91491,0.86348,1.20442,0.000230129,0.000230129,0.000230129
4,659.035,1.1086,1.44278,1.41305,0.84877,0.8083,0.86799,0.68636,0.81114,0.66999,1.13751,0.0002203,0.0002203,0.0002203
5,827.058,1.04474,1.24161,1.34701,0.90796,0.85701,0.89518,0.70583,0.80558,0.59278,1.11665,0.0002104,0.0002104,0.0002104
6,994.878,0.99789,1.12561,1.30703,0.93545,0.86859,0.91001,0.72287,0.78528,0.54366,1.10005,0.0002005,0.0002005,0.0002005
7,1163.41,0.96634,1.04096,1.28003,0.94117,0.88099,0.91225,0.72481,0.77907,0.52196,1.09704,0.0001906,0.0001906,0.0001906
8,1329.94,0.93426,0.97667,1.2553,0.95321,0.89527,0.92243,0.73847,0.76745,0.47911,1.08853,0.0001807,0.0001807,0.0001807
9,1497.63,0.91185,0.92945,1.2381,0.95566,0.90692,0.92602,0.74494,0.76069,0.45532,1.08079,0.0001708,0.0001708,0.0001708
10,1665.44,0.89981,0.898,1.22974,0.96254,0.90796,0.93486,0.75561,0.74873,0.43855,1.07725,0.0001609,0.0001609,0.0001609
11,1833.37,0.88168,0.8606,1.21375,0.96666,0.90815,0.93642,0.76142,0.72909,0.41935,1.06865,0.000151,0.000151,0.000151
12,2001.16,0.86837,0.83696,1.2052,0.96497,0.91335,0.93452,0.75629,0.73123,0.41733,1.06819,0.0001411,0.0001411,0.0001411
13,2167.84,0.85429,0.80955,1.19268,0.96976,0.91401,0.93787,0.76485,0.72847,0.40578,1.06567,0.0001312,0.0001312,0.0001312
14,2333.62,0.84884,0.80042,1.19139,0.94648,0.93138,0.94169,0.76888,0.72074,0.39774,1.0636,0.0001213,0.0001213,0.0001213
15,2500.8,0.83961,0.77924,1.18391,0.95795,0.92967,0.94476,0.77432,0.71519,0.38892,1.05921,0.0001114,0.0001114,0.0001114
16,2663.6,0.74438,0.48197,1.11572,0.95757,0.93961,0.94799,0.78471,0.70455,0.37349,1.05118,0.0001015,0.0001015,0.0001015
17,2823.97,0.72556,0.45853,1.10457,0.96476,0.9415,0.94988,0.78569,0.70305,0.36579,1.04712,9.16e-05,9.16e-05,9.16e-05
18,2982.94,0.71388,0.44562,1.09551,0.96616,0.94769,0.95121,0.78937,0.69508,0.35923,1.0447,8.17e-05,8.17e-05,8.17e-05
19,3142.53,0.70517,0.43436,1.09095,0.96756,0.94516,0.95146,0.79219,0.69286,0.35405,1.04367,7.18e-05,7.18e-05,7.18e-05
20,3302.59,0.69522,0.42614,1.08577,0.96834,0.94891,0.95236,0.79245,0.6909,0.34958,1.04298,6.19e-05,6.19e-05,6.19e-05
21,3465.79,0.68822,0.41792,1.08089,0.97139,0.94856,0.954,0.79568,0.69026,0.34406,1.04246,5.2e-05,5.2e-05,5.2e-05
22,3630.09,0.68114,0.41091,1.07677,0.9713,0.95026,0.95383,0.79583,0.68937,0.3401,1.04074,4.21e-05,4.21e-05,4.21e-05
23,3794.04,0.67507,0.4064,1.07338,0.96974,0.95036,0.95559,0.79814,0.68684,0.33829,1.03915,3.22e-05,3.22e-05,3.22e-05
24,3956.68,0.66867,0.39884,1.07106,0.97471,0.94553,0.95517,0.79877,0.68549,0.33665,1.03958,2.23e-05,2.23e-05,2.23e-05
25,4121.05,0.66585,0.39695,1.06946,0.97522,0.94672,0.95555,0.79971,0.68496,0.33522,1.03877,1.24e-05,1.24e-05,1.24e-05
